vehicle ID,pixel location x,pixel location y,Pixel width,Pixel length
4758,1856.39,1397.96,44,69
4761,1929.69,1322.24,37,65
4763,1851.19,1148.94,39,60
4764,1809.42,1042.02,32,47
4766,1906.61,979.762,40,58
4767,1848.84,953.439,33,52
4770,1803.88,833.464,29,44
206,1902.71,818.199,37,61
4773,1842.5,671,24,33
4778,1799.06,583.051,27,35
4780,1883.21,487.64,25,32
4782,1798.5,372,16,21
4785,1833,308.5,13,20
2220,1816.12,173.077,19,21
18117,1952,1368,40,39
5396,1874.71,1811.91,56,102
4753,1803.5,1603,40,77
4755,1941.71,1560.97,48,83
4758,1855.5,1386.96,42,67
4761,1929.37,1312.57,36,64
4763,1851.12,1139.9,39,60
4764,1809.29,1032.51,31,48
4766,1905.85,971.912,38,57
4767,1849,945,29,49
4770,1803.85,825.109,29,44
206,1902.18,811.091,37,61
4773,1842,664.5,23,32
4778,1799.13,577.065,28,35
4780,1883.5,483,22,31
4782,1799.36,369.168,24,27
4785,1832.82,304.188,16,21
2220,1816.5,170.5,14,18
18117,1952,1367,40,39
5396,1874,1793.98,55,99
4753,1803.72,1588.5,42,80
4755,1942.77,1548.74,51,83
4758,1855.17,1375.19,41,66
4761,1928.56,1301.19,36,63
4763,1851.09,1130.45,39,60
4764,1809.5,1023.5,28,46
4766,1906.86,964.664,42,58
4767,1849,937,29,49
4770,1804,817,25,41
206,1901.48,804.802,36,60
4773,1842.49,659.178,26,34
4778,1799.4,571.019,30,35
4780,1882.83,478.619,25,33
4782,1798.9,365.106,23,27
4785,1832.14,299.626,17,20
2220,1816,167.5,13,18
18117,1953,1367,40,39
5396,1873,1777,49,95
4753,1802.47,1574.55,44,80
4755,1941.98,1536.31,52,84
4758,1855.35,1364.51,42,68
4761,1928.29,1291.03,42,64
4763,1850.98,1121.31,39,59
4764,1809,1014.5,29,46
4766,1906.24,956.925,40,57
4767,1849,929,29,49
4770,1803.79,809.62,28,43
206,1901.47,798.316,36,59
4773,1842.5,655.781,40,39
4778,1799.38,565.27,28,35
4780,1882.5,474.5,22,30
4782,1799.49,360.919,24,27
4785,1832.7,295.547,18,22
2220,1815.5,164.5,14,18
18117,1953,1367,40,39
5396,1872.81,1760.42,51,96
4753,1802,1559,41,75
4755,1941.16,1523.1,53,83
4758,1855.39,1353.44,41,66
4761,1927.62,1280.78,34,62
4763,1851,1111.95,39,59
4764,1809.97,1005.03,33,47
4766,1906.54,949.038,41,57
4767,1848.5,921.5,28,48
4770,1804,802.5,25,40
206,1903.57,793.496,40,64
4773,1843,648,23,31
4778,1799.11,559.219,27,35
4780,1882.5,470.5,22,30
4782,1797.7,355.4,26,24
4785,1832.5,291,14,19
2220,1815.5,161.5,14,18
18117,1953,1367,40,39
5396,1872.18,1744.41,51,96
4753,1802.63,1546.06,48,79
4755,1940.58,1511.12,49,81
4758,1854.2,1343.06,38,65
4761,1926.76,1271.2,34,61
4763,1850.5,1103,32,55
4764,1809.62,996.521,30,46
4766,1904.23,941.654,44,58
4767,1848.26,913.597,32,50
4770,1804.44,794.681,28,43
206,1901.35,785.398,36,59
4773,1843.97,643.382,35,40
4778,1799.27,553.556,26,34
4780,1881.59,465.87,24,33
4782,1799.17,351.902,21,25
4785,1832,287,13,19
2220,1814.5,159,14,19
18117,1953,1367,40,39
5396,1871.83,1728.43,49,96
4753,1801.5,1531,42,75
4755,1939.96,1498.92,51,81
4758,1854,1331.5,35,62
4761,1926.23,1260.91,38,63
4763,1850.17,1094.99,36,57
4764,1810,987,27,45
4766,1903.32,934.085,41,57
4767,1848.5,906.5,28,48
4770,1803.99,787.617,29,43
206,1900.98,779.32,37,59
4773,1842.5,636,22,31
4778,1799.74,548.048,29,35
4780,1882.33,462.258,25,32
4782,1797.74,346.908,20,23
4785,1831.5,283,14,19
2220,1814.5,156,14,19
18117,1953,1367,40,39
5396,1870.94,1712.86,53,96
4753,1800.5,1518.5,42,74
4755,1938.47,1487.58,52,80
4758,1852.5,1322.5,34,62
4761,1924.81,1251.3,35,61
4763,1848.93,1086.48,35,56
4764,1809.17,979.069,31,47
4766,1902.96,927.965,37,55
4767,1846.73,899.327,34,50
4770,1802.5,781,24,39
206,1899.23,773.778,35,58
4773,1841.5,632,22,31
4778,1798.49,543.081,28,35
4780,1880.27,459.249,25,32
4782,1796,343.5,15,20
4785,1829.89,279.243,16,21
2220,1812,153.5,19,22
18117,1952,1368,40,39
5396,1870.58,1696.54,50,94
4753,1802.48,1503.5,42,74
4755,1937.79,1474.38,50,80
4758,1853.18,1311.27,41,64
4761,1924.06,1241.65,35,60
4763,1848.79,1078.36,35,56
4764,1808.37,970.495,29,46
4766,1902.69,920.387,37,54
4767,1846.2,891.811,34,50
4770,1802.5,773.5,24,38
206,1898.81,767.462,37,60
4773,1840.76,627.857,39,38
4778,1797.96,537.308,29,35
4780,1880.12,454.369,25,32
4782,1797,340,15,19
4785,1829.73,275.302,16,21
2220,1811.9,150.7,17,20
18117,1952,1368,40,39
5396,1870.25,1680.96,49,93
4753,1802.63,1491.01,42,75
4755,1935.84,1463.2,47,79
4758,1853.05,1301.12,41,64
4761,1923.25,1232.25,39,61
4763,1848.52,1069.42,36,56
4764,1808.79,961.524,31,48
4766,1902.12,913.919,37,55
4767,1846,884,27,47
4770,1802,766,23,39
206,1898.47,761.348,36,58
4773,1840.5,621,22,29
4778,1797.89,532.278,27,34
4780,1880,451,23,29
4782,1797,335.5,15,20
4785,1829.83,271.646,16,20
2220,1812.19,147.961,17,21
18117,1952,1368,40,39
6490,1794.52,1997.07,54,103
5396,1869.87,1665.11,51,93
4753,1802.99,1477.04,39,73
4755,1935.25,1451.41,48,78
4758,1852.59,1290.96,40,62
4761,1922.77,1222.59,34,58
4763,1848,1060.5,31,52
4764,1808.1,952.974,28,47
4766,1899.42,907.024,48,57
4767,1846,876.5,27,46
4770,1802,759.5,23,38
206,1898.02,755.514,37,58
4773,1840,616,21,29
4778,1797.58,526.713,26,35
4780,1879.28,446.836,25,31
4782,1796.1,331.7,19,22
4785,1829,267.5,13,18
2220,1809.39,146.593,22,22
18117,1952,1368,40,39
6490,1795.06,1975,59,101
5396,1869.36,1649.47,48,90
4753,1803.26,1463.51,42,72
4755,1934.71,1439.43,48,78
4758,1852.39,1281.01,39,63
4761,1923.06,1213.01,37,59
4763,1848.58,1052.35,38,55
4764,1808.83,944.567,29,46
4766,1901.11,899.455,36,54
4767,1846,869.5,27,46
4770,1802,752.5,23,38
206,1897.94,749.356,37,58
4773,1840,610,21,29
4778,1797.68,521.221,25,34
4780,1879.16,442.767,25,31
4782,1796,328,15,19
4785,1828.5,263.5,14,18
18117,1952,1368,40,39
6490,1794.5,1954.61,54,100
5396,1870.5,1635,46,89
4753,1802.37,1450.01,46,73
4755,1935.55,1428.13,50,77
4758,1852.77,1270.56,40,62
4761,1922.01,1204.17,35,59
4763,1848.44,1043.91,38,56
4764,1808,936,25,43
4766,1901.42,892.727,38,54
4767,1846,862.5,27,46
4770,1802.29,745.524,28,42
206,1897.5,743.5,30,54
4773,1840.5,604.5,22,30
4778,1798.2,515.716,27,34
4780,1879.05,438.858,25,31
4782,1797.15,324.05,21,27
4785,1829,260,13,19
18117,1952,1368,40,39
6490,1795.35,1933.58,49,96
5396,1869.39,1619.59,51,92
4753,1802.5,1438,38,69
4755,1934.66,1416.84,51,77
4758,1852.15,1260.49,39,62
4761,1921.48,1194.67,34,58
4763,1848.52,1035.42,34,54
4764,1808.84,927.12,31,47
4766,1901.16,885.251,43,55
4767,1846,854.5,27,46
4770,1802.75,738.569,26,40
206,1897.59,737.441,34,56
4773,1840.5,599.5,22,28
4778,1798.06,510.166,27,35
4780,1878.62,434.599,26,32
4782,1797,320,15,19
4785,1829,256,13,17
18117,1952,1368,40,39
6657,1943.73,2012.07,56,105
6490,1795.5,1913,46,93
5396,1870.1,1604.53,49,88
4753,1803.2,1423.99,40,71
4755,1934.44,1406.14,52,78
4758,1852.1,1250.06,38,59
4761,1921.09,1184.83,35,58
4763,1848.5,1026.97,34,53
4764,1808.95,919.086,29,45
4766,1902.49,878.126,44,55
4767,1846,847.5,27,46
4770,1803.15,731.195,29,41
206,1897.6,730.99,36,57
4773,1841,596,35,35
4778,1797.98,504.238,27,33
4780,1878.46,431.049,26,31
4782,1795.32,315.815,25,23
4785,1828,251.5,13,18
18117,1952,1368,40,39
6657,1941.8,1994.63,55,104
6490,1795,1892.5,45,92
5396,1868.79,1590.48,48,88
4753,1803.46,1411.49,40,72
4755,1934.14,1394.37,53,76
4758,1852.32,1239.93,39,61
4761,1921.56,1178.24,44,66
4763,1848.52,1018.94,34,53
4764,1808.04,910.965,29,45
4766,1902,871,35,49
4767,1846,840.5,27,46
4770,1802.61,724.572,29,42
206,1897.6,725.393,36,56
4773,1840.18,588.439,27,32
4778,1798.71,499.162,26,33
4780,1878.56,426.676,26,32
4782,1797.7,312.4,20,24
4785,1829,247.5,13,18
18117,1952,1369,40,39
6657,1941.85,1976.46,52,100
6490,1795.5,1872.5,44,92
5396,1868.25,1575.59,47,88
4753,1802.68,1398.52,40,70
4755,1931.65,1382.61,47,75
4758,1851.53,1230.08,36,59
4761,1920.3,1166.79,35,58
4763,1848.03,1010.86,37,54
4764,1808,902.959,29,45
4766,1900.86,864.392,41,54
4767,1846,833.5,27,44
4770,1802.36,718.017,26,39
206,1896.98,719.315,37,56
4773,1840.78,585.099,35,39
4778,1798.18,494.076,25,33
4780,1878.19,423.241,25,30
4782,1797.41,308.376,22,25
4785,1828.77,243.769,16,20
18117,1952,1368,40,39
6657,1941.85,1959.37,55,100
6490,1794.67,1852.42,54,95
5396,1868.45,1561.58,54,91
4753,1802.5,1385.5,38,66
4755,1934.63,1371.92,52,75
4758,1851.85,1219.67,38,59
4761,1921.83,1159.95,43,65
4763,1848.09,1002.39,37,54
4764,1809.13,893.954,30,45
4766,1901.72,856.991,39,51
4767,1845.49,825.867,30,47
4770,1802,710.5,23,36
206,1896.67,713.283,34,55
4773,1839.69,580.006,36,35
4778,1798.45,488.012,28,33
4780,1878.07,418.812,25,31
4782,1796,304,21,21
4785,1827.79,239.791,16,20
18117,1953,1368,40,39
6657,1940.72,1941.89,56,99
6490,1794.5,1833.5,44,88
5396,1869.12,1546.18,51,85
4753,1801.77,1373.18,49,69
4755,1933.43,1361,53,75
4758,1851.13,1210.53,39,58
4761,1919.56,1148.72,34,56
4763,1847.97,993.927,33,51
4764,1808.94,886.451,29,44
4766,1897.03,851.433,51,57
4767,1845.5,819.5,26,44
4770,1802.5,704.5,22,36
206,1896.79,706.839,37,54
4773,1838.46,573.104,26,29
4778,1797.81,482.754,25,32
4780,1877.01,415.135,25,31
4782,1796.5,300.5,14,18
4785,1827.5,236,14,17
18117,1953,1368,40,39
6657,1940,1925,47,95
6490,1795.04,1814.39,47,90
5396,1869.37,1534.08,50,87
4753,1801.87,1361.52,43,68
4755,1931.1,1350.7,53,76
4758,1850.6,1201.05,36,57
4761,1918.35,1139.15,37,56
4763,1847.73,986.039,33,51
4764,1809.2,878.138,29,43
4766,1896.74,844.627,47,56
4767,1845.45,812.052,30,45
4770,1802,697.5,23,36
206,1896.78,700.806,38,55
4773,1839.5,568,22,29
4778,1797.57,477.723,26,32
4780,1876.92,411.79,25,32
4782,1797,296.5,15,18
4785,1827.33,232.718,15,20
18117,1953,1368,40,39
6657,1939.51,1908.93,54,97
6490,1794,1796,43,87
5396,1868.5,1520.5,44,84
4753,1802.68,1348.62,43,68
4755,1930.25,1339.16,50,73
4758,1851.28,1191.03,36,57
4761,1917.41,1130.97,34,55
4763,1847.96,978.11,37,53
4764,1807.5,870,26,39
4766,1897.83,837.931,35,52
4767,1845.38,805.432,31,46
4770,1802.52,691.08,26,39
206,1896.65,695.278,36,53
4773,1839.79,562.942,28,31
4778,1798.18,472.76,25,32
4780,1874.3,407.9,30,33
4782,1795.85,292.412,21,21
4785,1826.96,228.829,17,21
18117,1953,1368,40,39
6657,1938.28,1892.29,53,97
6490,1794.78,1776.09,50,89
5396,1867.34,1505.94,49,87
4753,1802.79,1336.56,40,66
4755,1929.88,1328.64,49,72
4758,1851.37,1181.59,36,56
4761,1917.95,1121.49,39,56
4763,1847.5,970,30,49
4764,1808.46,862.038,28,43
4766,1897.79,830.919,33,51
4767,1844.8,798.059,31,45
4770,1802,684.5,23,36
206,1896.25,689.716,36,54
4773,1839.53,557.347,24,30
4778,1797.7,467.612,26,32
4780,1875.19,404.27,23,31
4782,1796,288.5,15,18
4785,1826.5,225,14,17
18117,1953,1368,40,39
6657,1937.59,1875.74,53,96
6490,1794,1758.5,41,84
5396,1867,1492.5,43,82
4753,1802.55,1325.39,40,66
4755,1929.74,1317.51,48,72
4758,1851.14,1172.39,39,58
4761,1917.23,1113.27,36,56
4763,1847.06,962.526,33,50
4764,1808,854.5,25,38
4766,1897.5,824.459,34,50
4767,1844.53,791.905,30,45
4770,1802.73,678.115,26,38
206,1895.63,684.36,34,53
4773,1839.4,553.3,34,32
4778,1797.67,462.794,26,32
4780,1874.66,400.435,22,30
4782,1796,285.5,15,18
4785,1826.5,221,14,17
18117,1953,1368,40,39
6657,1936.9,1860.51,49,94
6490,1795.5,1740.5,42,84
5396,1867.21,1478.97,47,83
4753,1804,1314,35,65
4755,1928.55,1306.81,48,71
4758,1850.96,1163.05,39,57
4761,1917.66,1105.27,32,54
4763,1847.46,954.604,36,51
4764,1807,847,25,37
4766,1898.39,817.566,35,50
4767,1845.5,784.5,26,42
206,1895.15,678.561,34,53
4770,1803.23,671.723,27,40
4773,1838.62,547.807,24,29
4778,1798.19,457.597,26,32
4780,1874.57,396.838,22,29
4782,1795.1,281.2,23,22
4785,1826.29,217.715,15,20
18117,1953,1368,40,39
6657,1936.74,1844.49,49,92
6490,1795.5,1723.5,40,82
5396,1867,1466,43,79
4753,1804.24,1301.2,42,64
4755,1927.17,1296.34,46,70
4758,1850.63,1154.03,36,55
4761,1916.85,1096.42,30,52
4763,1847.37,947.213,35,51
4764,1808.21,839.597,29,43
4766,1897.99,811.365,35,50
4767,1845.15,778.067,29,45
206,1895.29,673.194,36,53
4770,1803,665,21,35
4773,1838.5,543,20,27
4778,1797.5,452.5,26,32
4780,1874.94,393.138,23,31
4782,1796,277.5,15,18
4785,1825.5,214,12,17
18117,1953,1368,40,39
6657,1936.36,1828.61,50,92
6490,1795,1705,41,81
5396,1867.48,1452.71,50,83
4753,1804.5,1289.5,34,62
4755,1926.7,1286.81,44,68
4758,1850.57,1145,34,55
4761,1916.02,1087.98,31,53
4763,1847.2,939.459,32,50
4764,1807.5,832,24,37
4766,1895.16,805.357,43,52
4767,1845,771.5,25,42
206,1895.37,667.436,38,54
4770,1803,659,21,35
4773,1838,537,21,27
4778,1797.98,447.624,25,32
4780,1875.29,389.262,23,30
4782,1795.37,274.327,20,20
4785,1825.5,210,12,17
18117,1953,1368,40,39
6657,1935.2,1813.05,52,93
6490,1795.5,1688,40,81
5396,1866.66,1439.18,52,83
4753,1804.07,1278.47,37,62
4755,1927.31,1276.71,48,70
4758,1851.05,1135.99,39,55
4761,1915.44,1079.08,36,54
4763,1847.25,932.025,35,51
4764,1807,824,25,37
4766,1895.77,798.89,39,51
4767,1844.5,765,26,43
206,1894,662,29,49
4770,1802.5,652.5,22,34
4773,1838.5,532.5,20,26
4778,1797.75,442.75,26,32
4780,1874.36,385.897,23,29
4782,1795.5,270.5,14,18
4785,1825.33,207.218,15,19
18117,1953,1368,40,39
6657,1934.27,1797.67,54,93
6490,1795.5,1671.5,38,80
5396,1865.5,1425.44,50,80
4753,1803.52,1268,36,61
4755,1925.83,1265.74,46,68
4758,1850.73,1126.48,36,54
4761,1914.19,1070.89,33,52
4763,1846.55,924.079,34,49
4764,1807.58,817.02,32,44
4766,1896.23,792.444,33,48
4767,1844.5,758.5,26,42
206,1894.3,656.47,35,52
4770,1803,646.5,21,34
4773,1838.5,527.5,20,26
4778,1797.2,437.716,25,32
4780,1874.16,381.889,23,29
4782,1795.5,267,14,17
4785,1824.87,202.777,13,18
18117,1953,1368,40,39
6657,1933.26,1782.1,51,91
6490,1795.43,1654.58,42,82
5396,1864.54,1413.48,44,78
4753,1803.5,1255.5,32,58
4755,1924.09,1255.16,42,68
4758,1850.55,1117.54,38,55
4761,1913.67,1062.41,35,54
4763,1846.54,916.564,32,48
4764,1808.15,809.088,29,43
4766,1896,786,29,47
4767,1844.15,751.45,30,44
206,1894.4,650.782,34,53
4770,1803,639,21,33
4773,1838.5,522,20,27
4778,1797.2,432.716,23,32
4780,1874,379,21,27
4782,1795.1,262.8,22,21
4785,1825.21,199.209,15,19
18117,1953,1368,40,39
6657,1933.28,1767.47,53,90
6490,1795,1637.5,39,78
5396,1864.3,1400.97,42,77
4753,1804.5,1245.5,34,60
4755,1924.61,1245.37,44,68
4758,1850.78,1108.85,38,55
4761,1914,1054.5,27,50
4763,1846.5,909.5,32,48
4764,1808.06,801.648,27,40
4766,1895.5,779.5,30,46
4767,1844.5,745,26,41
206,1893.93,645.443,35,52
4770,1802.79,634.068,24,35
4773,1838.81,518.224,28,33
4778,1797.24,427.959,24,31
4780,1873.3,374.935,23,29
4782,1795.3,259.4,21,20
4785,1824.5,196,12,17
18117,1953,1368,40,39
6657,1932.34,1752.11,50,89
6490,1795.05,1620.95,43,79
5396,1864,1388.5,39,74
4755,1925.12,1237.11,49,69
4753,1803.72,1234.06,36,61
4758,1850.5,1099.97,34,53
4761,1913.74,1046.06,30,51
4763,1846.69,901.985,33,49
4764,1808,794.5,23,36
4766,1895.09,773.441,34,49
4767,1844.5,738.5,26,40
206,1893.47,639.557,34,52
4770,1803,627,21,33
4773,1838.36,513.245,26,33
4778,1797.44,423.19,22,30
4780,1873.08,371.348,23,28
4782,1795.5,256,14,17
4785,1824.5,192,12,17
18117,1953,1368,40,39
6657,1931.76,1737.51,50,88
6490,1794.22,1605.57,41,78
5396,1863,1376.5,39,74
4755,1922.63,1227.04,45,67
4753,1802.77,1223.63,35,59
4758,1849.21,1091.25,37,54
4761,1912.84,1038.35,31,50
4763,1845,895.033,31,49
4764,1806,788,23,35
4766,1894,768,29,45
4767,1843,732,25,41
206,1891.48,634.869,34,52
4770,1801.5,622,22,33
4773,1836.5,508.5,20,26
4778,1795.64,418.689,23,30
4780,1871.07,368.218,23,28
4782,1793.76,252.559,19,19
4785,1822.28,189.556,15,18
18117,1954,1368,40,39
6657,1930.98,1722.94,51,87
6490,1794.6,1589.09,40,77
5396,1862.8,1364.4,45,77
4755,1922.63,1217.34,44,65
4753,1803.21,1212.64,40,61
4758,1849.34,1082.7,37,54
4761,1913.39,1030.31,33,51
4763,1845.07,887.729,45,52
4764,1807.36,781.048,28,41
4766,1892.22,761.877,53,55
4767,1843,726,25,41
206,1891.35,629.465,33,52
4770,1801.74,616.109,24,35
4773,1836.5,503.5,20,26
4778,1796.11,413.451,25,30
4780,1870.81,364.776,22,29
4782,1794.92,249.427,17,22
4785,1822.5,185.5,12,16
18117,1954,1368,40,39
6657,1930.3,1708.1,51,87
6490,1794.66,1573.52,48,80
5396,1862,1352.5,39,72
4755,1921.46,1209.49,47,64
4753,1803.04,1202.02,35,59
4758,1849.21,1073.69,34,52
4761,1913.08,1022.4,31,48
4763,1844.39,880.551,48,52
4764,1806,773,23,35
4766,1893.69,755.447,32,47
4767,1843,719.5,25,40
206,1890.95,623.845,33,51
4770,1802,609.5,21,32
4773,1836.46,498.692,24,28
4778,1795.68,409.027,24,31
4780,1870.22,361.405,21,28
4782,1794.5,245.5,14,16
4785,1821.5,182.5,12,16
18117,1954,1368,40,39
6657,1929.88,1694.42,45,84
6490,1794.42,1557.73,45,78
5396,1862.5,1341,40,73
4755,1920.52,1197.6,40,64
4753,1803,1192.5,31,56
4758,1848.9,1065.12,33,51
4761,1913.08,1014.9,31,49
4763,1842.97,873.069,36,47
4764,1806.69,766.103,26,39
4766,1892.05,749.65,41,50
4767,1842.5,713,24,39
206,1890.9,618.8,33,51
4770,1801.47,603.594,24,34
4773,1835.75,494.136,25,28
4778,1795.62,404.037,24,31
4780,1870.3,357.311,24,29
4782,1794.5,242,14,17
4785,1821.85,179.138,14,18
18117,1954,1368,40,39
6657,1929.18,1680.33,50,86
6490,1794.1,1542.65,45,76
5396,1862.19,1329.29,45,75
4755,1920.71,1189.23,44,65
4753,1802.83,1181.51,34,58
4758,1849.1,1056.53,34,52
4761,1912.17,1006.8,33,50
4763,1844.42,865.979,32,47
4764,1805.5,759,22,35
4766,1892.47,743.775,35,48
4767,1843,707,25,39
206,1890.91,613.509,33,52
4770,1801.6,598.573,24,34
4773,1835.5,489.5,20,24
4778,1795.28,399.703,23,30
4780,1869.63,354.382,22,28
4782,1794.97,239.44,19,22
4785,1821,175.5,13,16
18117,1954,1368,40,39
6657,1927.85,1666.04,48,84
6490,1794.45,1527.61,40,76
5396,1862,1317.5,39,72
4755,1918.87,1179.91,41,61
4753,1802.5,1172,30,55
